 ERC20 min val rec,Time Diff between first and last (Mins), ERC20 avg val sent, ERC20 total Ether sent contract, ERC20 avg val rec, ERC20 total Ether received, ERC20 max val rec, ERC20 min val sent,Avg min between received tnx, ERC20 uniq rec token name,Unique Received From Addresses, Total ERC20 tnxs,total ether received,total transactions (including tnx to create contract, ERC20 uniq rec addr, ERC20 total ether sent, ERC20 uniq rec contract addr, ERC20 max val sent,avg val received,Received Tnx,FLAG
0.0,704785.63,271779.92,0.0,265586.1476,35588543.78,15000000.0,0.0,1093.71,57.0,40.0,265.0,586.4666748,810.0,54.0,35603169.52,58.0,16830998.35,6.589513,89.0,0.0
0.0,1218216.73,2.260809,0.0,57.632615,403.4283054,365.0,2.260809,2958.44,7.0,5.0,8.0,3.085478209,102.0,5.0,2.260809454,7.0,2.260809,0.385685,8.0,0.0
0.0,516729.3,0.0,0.0,65.189009,521.5120705,442.81984,0.0,2434.02,8.0,10.0,8.0,3.58905665,12.0,7.0,0.0,8.0,0.0,0.358906,10.0,0.0
0.0,397555.9,3804.076893,0.0,1555.550174,17111.05191,11412.23068,100.0,15785.09,11.0,7.0,14.0,895.399559,34.0,11.0,11412.23068,11.0,9029.23068,99.48884,9.0,0.0
0.0,382472.42,13726.65922,0.0,4934.232147,162829.6609,90000.0,0.0,10707.77,27.0,7.0,42.0,53.4218965,4619.0,23.0,123539.9329,27.0,45000.0,2.671095,20.0,0.0
0.0,20926.68,0.0,0.0,0.0,0.0,0.0,0.0,375.48,0.0,2.0,0.0,9.70472386,5.0,0.0,0.0,0.0,0.0,3.234908,3.0,0.0
0.0,8660.35,0.0,0.0,0.0,0.0,0.0,0.0,629.44,0.0,9.0,0.0,12.079266,36.0,0.0,0.0,0.0,0.0,1.098115,11.0,0.0
0.0,319828.05,0.0,0.0,56.850281,397.951964,365.0,0.0,176.84,7.0,3.0,7.0,4.45548974,218.0,5.0,0.0,7.0,0.0,0.891098,5.0,0.0
0.0,496.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
600.0,30572.7,0.0,0.0,600.0,600.0,600.0,0.0,3336.01,1.0,2.0,1.0,50.1,11.0,1.0,0.0,1.0,0.0,16.7,3.0,0.0
0.0,129540.15,0.0,0.0,0.0,0.0,0.0,0.0,12921.57,0.0,2.0,0.0,10.04819041,20.0,0.0,0.0,0.0,0.0,1.004819,10.0,0.0
0.0,385961.98,0.0,0.0,774.128239,6193.025913,4035.631891,0.0,1448.09,8.0,4.0,8.0,831.8030477,254.0,7.0,0.0,8.0,0.0,3.381313,246.0,0.0
0.075367,198900.25,0.0,0.0,0.090642,0.181283664,0.105917,0.0,12431.27,2.0,4.0,2.0,12.30665958,17.0,2.0,0.0,2.0,0.0,0.769166,16.0,0.0
0.001,78197.58,0.0,0.0,2.667,8.001,5.0,0.0,5776.32,2.0,2.0,3.0,0.36015854,9.0,2.0,0.0,2.0,0.0,0.180079,2.0,0.0
0.0,540061.9,26617.3,0.0,4993.849726,139827.7923,118324.5,1e-06,3742.82,26.0,11.0,33.0,1851.006376,56.0,23.0,133086.5,26.0,118324.5,77.125266,24.0,0.0
0.0,25802.32,1e-06,0.0,0.0,0.0,0.0,0.0,11.08,0.0,3.0,4.0,1.591844363,38.0,0.0,5e-06,0.0,5e-06,0.530615,3.0,0.0
0.0,280803.43,0.0,0.0,0.0,0.0,0.0,0.0,4923.24,0.0,2.0,0.0,11.6287514,114.0,0.0,0.0,0.0,0.0,0.204013,57.0,0.0
0.0,842599.05,76774.3276,0.0,34271.1456,308440.3104,274230.0,1620.0,11171.03,7.0,6.0,13.0,182.2115661,37.0,8.0,307097.3104,7.0,274231.0,16.564688,11.0,0.0
0.0,2318.5,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,1.0,0.0,27.767,5.0,0.0,0.0,0.0,0.0,13.8835,2.0,0.0
0.0,329.78,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,2.0,0.0,101.0,4.0,0.0,0.0,0.0,0.0,50.5,2.0,0.0
2.0,113840.02,0.0,0.0,2.491789,4.983578382,2.983578,0.0,6324.45,2.0,5.0,2.0,101.9235724,19.0,2.0,0.0,2.0,0.0,5.662421,18.0,0.0
0.0,292841.02,0.0,0.0,0.0,0.0,0.0,0.0,41108.66,1.0,4.0,1.0,58.85070376,14.0,1.0,0.0,1.0,0.0,8.407243,7.0,0.0
0.0,712.88,0.0,0.0,0.0,0.0,0.0,0.0,64.3,0.0,4.0,0.0,8.75,9.0,0.0,0.0,0.0,0.0,2.1875,4.0,0.0
0.0,892782.2,100.0,0.0,184.383305,2765.749578,1500.0,100.0,6928.28,15.0,1.0,16.0,43.17587621,134.0,9.0,100.0,15.0,100.0,0.342666,126.0,0.0
0.920501,226778.27,0.0,0.0,1.601374,4.804121022,2.0,0.0,13339.9,3.0,6.0,3.0,82.62366163,18.0,3.0,0.0,3.0,0.0,4.860215,17.0,0.0
0.0,30.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.999,2.0,0.0,0.0,0.0,0.0,4.999,1.0,0.0
0.0,330187.83,0.0,0.0,133.98577,1473.843474,600.0,0.0,60933.08,11.0,3.0,11.0,35.0,85.0,8.0,0.0,11.0,0.0,11.666667,3.0,0.0
0.0,68.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.54764892,2.0,0.0,0.0,0.0,0.0,0.547649,1.0,0.0
0.0,338429.65,0.0,0.0,0.0,0.0,0.0,0.0,112602.93,0.0,3.0,0.0,4.5371564,7.0,0.0,0.0,0.0,0.0,1.512385,3.0,0.0
0.0,955278.0,103015.9352,0.0,47127.8512,1555219.09,322932.1604,0.0,6594.93,23.0,7.0,48.0,2351.714972,73.0,26.0,1545239.028,23.0,1230000.0,167.979641,14.0,0.0
0.10587,291427.53,0.0,0.0,0.279099,0.55819781,0.452328,0.0,5498.63,2.0,4.0,2.0,26.75944516,54.0,2.0,0.0,2.0,0.0,0.504895,53.0,0.0
0.0,561789.58,0.0,0.0,0.0,0.0,0.0,0.0,51068.75,0.0,8.0,0.0,56.22253457,21.0,0.0,0.0,0.0,0.0,5.11114,11.0,0.0
0.0,2257.12,0.0,0.0,32.790831,327.9083121,290.214723,0.0,0.0,9.0,1.0,10.0,1.74798122,3.0,8.0,0.0,9.0,0.0,1.747981,1.0,0.0
0.0,22889.93,0.0,0.0,0.0,1e-12,0.0,0.0,680.22,1.0,1.0,2.0,0.15,12.0,1.0,1e-11,1.0,0.0,0.075,2.0,0.0
0.082576,449889.15,0.0,0.0,0.266432,0.532864637,0.450289,0.0,648.26,2.0,4.0,2.0,1123.399095,695.0,2.0,0.0,2.0,0.0,1.618731,694.0,0.0
0.0,450106.65,4902.152406,0.0,470.686157,139793.7886,72838.70935,0.0,58.88,15.0,1337.0,325.0,223047.6014,8959.0,295.0,137260.2674,15.0,93524.52194,74.622817,2989.0,0.0
0.0,4.87,0.0,0.0,0.0,3.75e-12,0.0,0.0,0.0,1.0,1.0,2.0,0.003,2.0,1.0,5e-15,1.0,0.0,0.003,1.0,0.0
0.0,636162.82,2.215701,0.0,180.543435,1444.347483,768.42897,2.2155,128.81,8.0,1.0,10.0,4618.823828,4443.0,8.0,4.431401966,8.0,2.215902,1.055731,4375.0,0.0
0.0,345142.02,0.0,0.0,0.0,0.0,0.0,0.0,85496.6,0.0,2.0,0.0,5.5838107,7.0,0.0,0.0,0.0,0.0,1.395953,4.0,0.0
0.0,21206.93,100.0,0.0,91356603.2,3106124509.0,1553054037.0,100.0,0.92,29.0,3.0,35.0,44.0,10003.0,25.0,100.0,31.0,100.0,11.0,4.0,0.0
0.0,160707.1,40033.33333,0.0,12201.78964,122017.8964,60716.0,100.0,1245.91,9.0,2.0,13.0,56.99,12.0,6.0,120100.0,9.0,100000.0,18.996667,3.0,0.0
1.0,802574.4,90871.42857,0.0,2645.923,21167.384,20180.614,2500.0,26284.49,6.0,7.0,15.0,175.4,21.0,6.0,636100.0,6.0,300000.0,21.925,8.0,0.0
0.0,339687.12,0.0,0.0,4082.376606,53070.89588,52417.0,0.0,56424.63,13.0,6.0,13.0,5.333649,9.0,10.0,0.0,13.0,0.0,0.888941,6.0,0.0
1e-06,355017.02,5500.0,0.0,12500.0,25000.0,25000.0,0.0,51541.26,2.0,3.0,7.0,58.81983438,39.0,1.0,27500.0,2.0,15000.0,9.803306,6.0,0.0
0.0,328.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,3.0,0.0,0.0,0.0,0.0,101.0,1.0,0.0
0.0,13445.97,0.0,0.0,0.0,0.0,0.0,0.0,450.56,0.0,5.0,0.0,15.69308421,12.0,0.0,0.0,0.0,0.0,2.615514,6.0,0.0
